				PC	EBP	ESP	stack
20	OPR	0	8	21	27	32	0 0 0 0 0 0 | 0 1 1 34 5 | 0 1 7 26 4 | 0 1 12 26 3 | 0 1 17 26 2 | 0 1 22 26 1 1 
21	JPC	0	25	22	27	31	0 0 0 0 0 0 | 0 1 1 34 5 | 0 1 7 26 4 | 0 1 12 26 3 | 0 1 17 26 2 | 0 1 22 26 1 
22	LIT	0	1	23	27	32	0 0 0 0 0 0 | 0 1 1 34 5 | 0 1 7 26 4 | 0 1 12 26 3 | 0 1 17 26 2 | 0 1 22 26 1 1 
23	STO	1	5	24	27	31	0 0 0 0 0 1 | 0 1 1 34 5 | 0 1 7 26 4 | 0 1 12 26 3 | 0 1 17 26 2 | 0 1 22 26 1 
24	JMP	0	26	26	27	31	0 0 0 0 0 1 | 0 1 1 34 5 | 0 1 7 26 4 | 0 1 12 26 3 | 0 1 17 26 2 | 0 1 22 26 1 
26	LOD	1	5	27	27	32	0 0 0 0 0 1 | 0 1 1 34 5 | 0 1 7 26 4 | 0 1 12 26 3 | 0 1 17 26 2 | 0 1 22 26 1 1 
27	LOD	0	4	28	27	33	0 0 0 0 0 1 | 0 1 1 34 5 | 0 1 7 26 4 | 0 1 12 26 3 | 0 1 17 26 2 | 0 1 22 26 1 1 1 
28	OPR	0	4	29	27	32	0 0 0 0 0 1 | 0 1 1 34 5 | 0 1 7 26 4 | 0 1 12 26 3 | 0 1 17 26 2 | 0 1 22 26 1 1 
29	STO	1	5	30	27	31	0 0 0 0 0 1 | 0 1 1 34 5 | 0 1 7 26 4 | 0 1 12 26 3 | 0 1 17 26 2 | 0 1 22 26 1 
30	OPR	0	0	26	22	26	0 0 0 0 0 1 | 0 1 1 34 5 | 0 1 7 26 4 | 0 1 12 26 3 | 0 1 17 26 2 
26	LOD	1	5	27	22	27	0 0 0 0 0 1 | 0 1 1 34 5 | 0 1 7 26 4 | 0 1 12 26 3 | 0 1 17 26 2 1 
27	LOD	0	4	28	22	28	0 0 0 0 0 1 | 0 1 1 34 5 | 0 1 7 26 4 | 0 1 12 26 3 | 0 1 17 26 2 1 2 
28	OPR	0	4	29	22	27	0 0 0 0 0 1 | 0 1 1 34 5 | 0 1 7 26 4 | 0 1 12 26 3 | 0 1 17 26 2 2 
29	STO	1	5	30	22	26	0 0 0 0 0 2 | 0 1 1 34 5 | 0 1 7 26 4 | 0 1 12 26 3 | 0 1 17 26 2 
30	OPR	0	0	26	17	21	0 0 0 0 0 2 | 0 1 1 34 5 | 0 1 7 26 4 | 0 1 12 26 3 
26	LOD	1	5	27	17	22	0 0 0 0 0 2 | 0 1 1 34 5 | 0 1 7 26 4 | 0 1 12 26 3 2 
27	LOD	0	4	28	17	23	0 0 0 0 0 2 | 0 1 1 34 5 | 0 1 7 26 4 | 0 1 12 26 3 2 3 
28	OPR	0	4	29	17	22	0 0 0 0 0 2 | 0 1 1 34 5 | 0 1 7 26 4 | 0 1 12 26 3 6 
29	STO	1	5	30	17	21	0 0 0 0 0 6 | 0 1 1 34 5 | 0 1 7 26 4 | 0 1 12 26 3 
30	OPR	0	0	26	12	16	0 0 0 0 0 6 | 0 1 1 34 5 | 0 1 7 26 4 
26	LOD	1	5	27	12	17	0 0 0 0 0 6 | 0 1 1 34 5 | 0 1 7 26 4 6 
27	LOD	0	4	28	12	18	0 0 0 0 0 6 | 0 1 1 34 5 | 0 1 7 26 4 6 4 
28	OPR	0	4	29	12	17	0 0 0 0 0 6 | 0 1 1 34 5 | 0 1 7 26 4 24 
29	STO	1	5	30	12	16	0 0 0 0 0 24 | 0 1 1 34 5 | 0 1 7 26 4 
30	OPR	0	0	26	7	11	0 0 0 0 0 24 | 0 1 1 34 5 
26	LOD	1	5	27	7	12	0 0 0 0 0 24 | 0 1 1 34 5 24 
27	LOD	0	4	28	7	13	0 0 0 0 0 24 | 0 1 1 34 5 24 5 
28	OPR	0	4	29	7	12	0 0 0 0 0 24 | 0 1 1 34 5 120 
29	STO	1	5	30	7	11	0 0 0 0 0 120 | 0 1 1 34 5 
30	OPR	0	0	34	1	6	0 0 0 0 0 120 
34	LOD	0	5	35	1	7	0 0 0 0 0 120 120 
35	SIO	0	1	36	1	6	0 0 0 0 0 120 
36	OPR	0	0	0	0	0	
